time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100105:0811,0,0,0,0,0,-0.64,3.17,0
20100105:0911,256.13,62.02,65.59,1.62,8,-0.19,3.45,0
20100105:1011,218.84,27.27,84.13,2.19,12.53,0.59,3.72,0
20100105:1111,378.89,62.21,117.94,3.1,15.03,1.26,3.93,0
20100105:1211,709.43,172.86,149.17,4.01,15.28,1.64,4,0
20100105:1311,227.54,26.51,89.3,2.32,13.24,1.95,3.66,0
20100105:1411,270.79,61.3,73.41,1.84,9.11,1.67,3.38,0
20100105:1511,87,34.57,19.33,0.5,3.22,0.97,3.03,0
20100105:1611,0,0,0,0,0,-0.19,3.03,0
20100105:1711,0,0,0,0,0,-0.88,3.03,0
20100105:1811,0,0,0,0,0,-1.41,3.03,0
20100105:1911,0,0,0,0,0,-1.72,3.31,0
20100105:2011,0,0,0,0,0,-2.02,3.1,0
20100105:2111,0,0,0,0,0,-2.21,3.03,0
20100105:2211,0,0,0,0,0,-2.33,2.83,0
20100105:2311,0,0,0,0,0,-2.42,2.62,0
20100106:0011,0,0,0,0,0,-2.86,2.41,0
20100106:0111,0,0,0,0,0,-3.46,2.41,0
20100106:0211,0,0,0,0,0,-3.86,2.34,0
20100106:0311,0,0,0,0,0,-4.01,2.34,0
20100106:0411,0,0,0,0,0,-4.48,2.28,0
20100106:0511,0,0,0,0,0,-4.53,2.14,0
20100106:0611,0,0,0,0,0,-4.57,2.07,0
20100106:0711,0,0,0,0,0,-3.86,2.34,0
20100106:0811,0,0,0,0,0,-3.82,2.34,0
20100106:0911,558.02,166.9,87.5,2.12,8.07,-3.37,2.41,0
20100106:1011,650.01,165.99,125.82,3.3,12.62,-2.59,3.45,0
20100106:1111,963.88,269.06,159.06,4.49,15.14,-1.76,3.45,0
20100106:1211,1051.3,306.79,161.75,4.71,15.4,-1.04,3.31,0
20100106:1311,918.69,269.6,142.35,3.98,13.37,-0.59,2.9,0
20100106:1411,581.04,169.52,97.52,2.44,9.25,-0.18,2.62,0
20100106:1511,340.75,141.07,26.41,0.75,3.37,-0.67,2.07,0
20100106:1611,0,0,0,0,0,-1.31,2.21,0
20100106:1711,0,0,0,0,0,-1.83,2.28,0
20100106:1811,0,0,0,0,0,-2.23,2.41,0
20100106:1911,0,0,0,0,0,-2.6,2.55,0
20100106:2011,0,0,0,0,0,-2.53,2.62,0
20100106:2111,0,0,0,0,0,-2.62,2.62,0
20100106:2211,0,0,0,0,0,-2.85,2.62,0
20100106:2311,0,0,0,0,0,-2.99,2.62,0
20100107:0011,0,0,0,0,0,-2.99,2.48,0
20100107:0111,0,0,0,0,0,-2.85,2.28,0
20100107:0211,0,0,0,0,0,-2.97,2.21,0
20100107:0311,0,0,0,0,0,-2.87,2.28,0
20100107:0411,0,0,0,0,0,-2.91,2.41,0
20100107:0511,0,0,0,0,0,-3.06,2.48,0
20100107:0611,0,0,0,0,0,-3.53,2.69,0
20100107:0711,0,0,0,0,0,-3.85,2.55,0
20100107:0811,0,0,0,0,0,-4.43,2.55,0
20100107:0911,104.78,13.06,47.01,1.21,8.14,-4.23,2.34,0
20100107:1011,294,47.11,94.5,2.46,12.71,-3.28,2.76,0
20100107:1111,1048.52,304.32,160.37,4.67,15.25,-2.28,3.31,0
20100107:1211,847.19,219.46,158.3,4.35,15.53,-1.6,3.24,0
20100107:1311,825,228.3,141.14,3.85,13.52,-1.34,2.9,0
20100107:1411,670.89,203.22,101.32,2.6,9.4,-1.25,2.62,0
20100107:1511,259.68,103.61,27.48,0.73,3.52,-1.8,1.86,0
20100107:1611,0,0,0,0,0,-2.78,2,0
20100107:1711,0,0,0,0,0,-3.55,2,0
