time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180602:0910,719.42,34.7,322.65,3.4,49.53,16.84,3.66,0
20180602:1010,439.83,0,226.78,2.23,56.43,18.03,3.59,0
20180602:1110,786.46,27.87,366.13,3.85,60.35,18.87,3.59,0
20180602:1210,969.66,82.65,403.43,4.84,59.97,19.36,3.1,0
20180602:1310,1003.14,137.57,367.93,5.4,55.44,19.88,2.62,0
20180602:1410,702.31,31.98,326.03,3.74,48.19,20.22,2.48,0
20180602:1510,603.31,103.02,218.15,4.65,39.53,20.25,2.34,0
20180602:1610,181.96,67.58,69.67,4.28,30.29,20.6,2.07,0
20180602:1710,209.26,0,119.05,1.21,20.98,20.55,1.79,0
20180602:1810,110.36,0,70.14,0.71,11.97,20.3,1.38,0
20180602:1910,5.85,0,11.07,0.11,3.6,18.62,1.72,0
20180602:2010,0,0,0,0,0,17.93,1.52,0
20180602:2110,0,0,0,0,0,17.37,1.38,0
20180602:2210,0,0,0,0,0,16.7,1.24,0
20180602:2310,0,0,0,0,0,15.84,1.17,0
20180603:0010,0,0,0,0,0,14.99,1.31,0
20180603:0110,0,0,0,0,0,14.53,1.24,0
20180603:0210,0,0,0,0,0,14.2,1.17,0
20180603:0310,0,0,0,0,0,13.96,1.17,0
20180603:0410,74.87,22.94,28.5,0.3,5.02,13.39,1.31,0
20180603:0510,285.57,51.34,100.66,1.09,13.52,14.72,0.83,0
20180603:0610,774.33,200.37,186.04,2.5,22.6,16.87,0.83,0
20180603:0710,685.15,96.41,248.61,2.87,31.92,18.36,1.45,0
20180603:0810,978.09,172.03,321.26,4.09,41.11,19.67,1.66,0
20180603:0910,857.19,80.53,356.49,4.03,49.61,20.79,1.45,0
20180603:1010,1580.93,547.27,285.59,7.15,56.53,21.53,1.1,0
20180603:1110,1415.09,400.17,341.79,6.99,60.47,22,0.97,0
20180603:1210,868.55,54.53,395.69,4.47,60.1,22.81,1.03,0
20180603:1310,826.14,52.19,376.43,4.38,55.57,23.16,1.17,0
20180603:1410,825.74,109.04,321.23,4.98,48.32,23.48,1.38,0
20180603:1510,602.84,100.77,225.03,4.66,39.65,23.32,1.79,0
20180603:1610,258.19,52.14,116.09,4,30.41,23.12,2,0
20180603:1710,257.6,0,143.97,1.46,21.1,23.06,2,0
