time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160607:1211,1905.68,800.75,174.64,25.22,58.66,20.57,2.62,0
20160607:1311,1876.76,793.83,156.23,24.02,54.25,20.54,3.17,0
20160607:1411,1713.26,708.39,143.65,21.5,47.29,20.16,3.59,0
20160607:1511,1396.64,536.2,145.96,17.69,38.99,19.41,3.72,0
20160607:1611,1004.87,375.2,114.89,13.62,30.11,18.39,3.79,0
20160607:1711,309.58,27.67,135.42,5.51,21.17,17.33,3.72,0
20160607:1811,84.96,0.36,54.51,1.9,12.54,16.18,3.24,0
20160607:1911,3.22,0,8.53,0.32,4.55,14.87,2.62,0
20160607:2011,0,0,0,0,0,13.54,2.55,0
20160607:2111,0,0,0,0,0,12.57,2.55,0
20160607:2211,0,0,0,0,0,11.95,2.48,0
20160607:2311,0,0,0,0,0,11.57,2.62,0
20160608:0011,0,0,0,0,0,11.34,2.62,0
20160608:0111,0,0,0,0,0,11.2,2.34,0
20160608:0211,0,0,0,0,0,11.03,2.21,0
20160608:0311,0,0,0,0,0,11.06,2.07,0
20160608:0411,19.49,0,19.39,0.73,6.82,11.05,2.14,0
20160608:0511,45.95,0,34.13,1.29,15.02,12.24,2.14,0
20160608:0611,261.32,1.42,135.24,5.1,23.77,13.52,3.59,0
20160608:0711,434.64,13.99,201.07,7.73,32.73,12.99,3.79,0
20160608:0811,621.34,34.8,263.76,10.34,41.51,13.28,3.66,0
20160608:0911,320.42,0,162.87,5.59,49.53,13.82,3.72,0
20160608:1011,231.11,0,122.79,4.22,55.91,14.64,4.07,0
20160608:1111,286.66,0,148.38,5.1,59.35,15.25,4.41,0
20160608:1211,283.94,0,147.52,5.07,58.76,15.89,4.48,0
20160608:1311,412.42,0,206.36,7.09,54.35,16.47,4.76,0
20160608:1411,0,0,0,0,0,16.52,4.83,0
20160608:1511,1070.52,245.48,264.23,14.23,39.08,16.5,5.03,0
20160608:1611,972.71,322.78,143.38,13.06,30.21,16.02,5.1,0
20160608:1711,467.33,117.35,124.07,7.97,21.27,15.32,5.17,0
20160608:1811,135.11,13.56,71.8,3.69,12.64,14.49,4.9,0
20160608:1911,6.25,0,10.86,0.41,4.65,13.32,4.76,0
20160608:2011,0,0,0,0,0,12.59,4.21,0
20160608:2111,0,0,0,0,0,12.18,3.66,0
20160608:2211,0,0,0,0,0,11.95,3.31,0
20160608:2311,0,0,0,0,0,11.74,3.38,0
20160609:0011,0,0,0,0,0,11.67,3.45,0
20160609:0111,0,0,0,0,0,11.69,3.52,0
20160609:0211,0,0,0,0,0,11.76,3.59,0
20160609:0311,0,0,0,0,0,11.92,3.59,0
20160609:0411,13.12,0,15.52,0.59,6.87,12.01,3.45,0
20160609:0511,61.01,0,41.89,1.58,15.06,12.59,3.45,0
20160609:0611,98.41,0,60.54,2.08,23.81,13.24,4.34,0
20160609:0711,171.34,0,94.65,3.25,32.77,12.96,4.28,0
20160609:0811,260.87,0,135.59,4.66,41.55,13.33,4.14,0
20160609:0911,252.54,0,132.18,4.54,49.58,13.85,3.72,0
20160609:1011,260.95,0,136.44,4.69,55.97,14.61,3.66,0
20160609:1111,1861.76,687.48,220.55,24.6,59.43,14.95,3.66,0
20160609:1211,1950.59,755.38,201.56,24.87,58.85,15.46,3.86,0
20160609:1311,1876.94,707.99,205.41,23.29,54.45,15.39,4.21,0
20160609:1411,1693.59,620.15,193.44,20.74,47.49,15.19,4.48,0
20160609:1511,1435.55,537.83,144.64,17.75,39.18,14.97,4.48,0
20160609:1611,1024.19,369.6,119.64,13.65,30.3,14.55,4.21,0
20160609:1711,539.42,197.25,83.36,9.31,21.36,13.97,4.14,0
20160609:1811,117.53,32.62,53.96,4.74,12.73,13.27,3.93,0
20160609:1911,23.29,0,21.72,0.82,4.75,12.38,3.24,0
20160609:2011,0,0,0,0,0,11.42,2.76,0
20160609:2111,0,0,0,0,0,10.7,2.55,0
20160609:2211,0,0,0,0,0,10.19,2.34,0
20160609:2311,0,0,0,0,0,9.67,2.34,0
20160610:0011,0,0,0,0,0,9.23,2.41,0
20160610:0111,0,0,0,0,0,9.01,2.34,0
20160610:0211,0,0,0,0,0,9.05,2.34,0
20160610:0311,0,0,0,0,0,9.12,2.34,0
20160610:0411,0.02,0,5.43,0.21,6.91,9.65,2.21,0
20160610:0511,94.88,0,58.18,2.2,15.1,10.81,2.34,0
20160610:0611,286.74,3.31,144.71,6.06,23.84,11.99,3.79,0
20160610:0711,529.68,52.52,209.63,10.34,32.8,12.93,3.45,0
20160610:0811,1034.11,354.02,140.3,18.42,41.59,13.79,2.97,0
20160610:0911,0,0,0,0,0,14.25,2.76,0
20160610:1011,1036.76,130.56,366.78,15.76,56.03,15.06,2.69,0
20160610:1111,1506.38,376.36,357.92,20.82,59.5,15.86,2.83,0
20160610:1211,1140.23,163.12,387.28,16.61,58.94,16.42,3.03,0
20160610:1311,1027.04,130.98,363.9,15.05,54.54,16.68,3.24,0
20160610:1411,1001.37,151.06,330.21,14.29,47.58,16.61,3.45,0
20160610:1511,581.56,36.26,247.59,9.26,39.27,16.22,3.38,0
20160610:1611,577,72.54,209.54,8.87,30.39,15.76,3.31,0
20160610:1711,423.76,79.98,138.65,7.26,21.45,15.11,3.17,0
20160610:1811,125.31,4.68,71.45,2.87,12.82,14.33,3.1,0
20160610:1911,23.16,0,21.72,0.82,4.84,13.35,3.1,0
20160610:2011,0,0,0,0,0,12.66,2.41,0
20160610:2111,0,0,0,0,0,12.29,2.21,0
20160610:2211,0,0,0,0,0,11.9,2.21,0
20160610:2311,0,0,0,0,0,11.44,2.14,0
20160611:0011,0,0,0,0,0,11.16,2,0
20160611:0111,0,0,0,0,0,10.85,1.93,0
20160611:0211,0,0,0,0,0,10.59,1.79,0
20160611:0311,0,0,0,0,0,10.34,1.59,0
20160611:0411,34.62,0,27.93,1.05,6.94,10.66,1.45,0
20160611:0511,38.76,0,30.26,1.14,15.13,11.63,1.45,0
20160611:0611,288.32,4.1,145.74,6.39,23.87,12.23,1.59,0
20160611:0711,399.18,8.72,191.23,7.09,32.83,13.16,1.45,0
20160611:0811,573.45,24.81,255.43,9.69,41.62,14.16,1.45,0
20160611:0911,495.16,4.53,240,8.38,49.66,14.38,1.1,0
20160611:1011,238.65,0,127.06,4.36,56.08,14.89,0.9,0
20160611:1111,549.69,4.33,266.55,9.26,59.57,15.2,1.1,0
20160611:1211,447.84,0,223.42,7.67,59.02,15.49,1.59,0
20160611:1311,256.85,0,135.59,4.66,54.62,15.7,1.93,0
20160611:1411,275.21,0,144.11,4.95,47.66,15.9,2.07,0
20160611:1511,397.05,4.53,195.82,6.82,39.35,16.22,1.93,0
20160611:1611,254.7,1.05,133.98,4.63,30.48,16.38,1.79,0
20160611:1711,59.2,0,41.78,1.44,21.54,16.66,1.79,0
20160611:1811,108.35,1.81,65.31,2.4,12.91,16.14,1.86,0
20160611:1911,17.76,0,18.62,0.7,4.93,15.24,2.48,0
20160611:2011,0,0,0,0,0,14.43,2.76,0
20160611:2111,0,0,0,0,0,14,2.69,0
20160611:2211,0,0,0,0,0,13.81,2.48,0
20160611:2311,0,0,0,0,0,13.59,2.14,0
20160612:0011,0,0,0,0,0,13.28,1.93,0
20160612:0111,0,0,0,0,0,12.94,1.79,0
20160612:0211,0,0,0,0,0,12.94,1.66,0
20160612:0311,0,0,0,0,0,12.83,1.59,0
20160612:0411,1.51,0,6.98,0.26,6.97,12.87,1.38,0
20160612:0511,117.75,0,69.82,2.64,15.15,13.47,1.1,0
20160612:0611,211.02,0.31,113.87,4.01,23.89,14.53,1.17,0
20160612:0711,446.05,17.91,205.77,8.14,32.85,14.42,1.31,0
20160612:0811,616.11,36.76,264.63,10.46,41.64,15.07,1.45,0
20160612:0911,685.42,34.37,300.3,11.31,49.7,15.86,1.45,0
20160612:1011,469.74,1.01,233.75,8.05,56.13,16.47,1.38,0
20160612:1111,403.67,0,204.66,7.03,59.63,16.98,1.24,0
20160612:1211,417.14,0,211.48,7.26,59.09,17.24,0.9,0
20160612:1311,1000.63,130.69,364.66,15.08,54.7,17.35,0.55,0
20160612:1411,1511.31,526.31,240.51,19.86,47.75,17.86,0.76,0
20160612:1511,412.82,6.78,203.8,7.15,39.43,18.2,0.55,0
20160612:1611,92.08,0,58.84,2.02,30.56,18.46,0.83,0
20160612:1711,26.06,0,23.88,0.82,21.62,18.01,1.45,0
20160612:1811,8.66,0,12.79,0.44,12.99,17.15,1.72,0
20160612:1911,17.66,0,18.62,0.7,5.01,16.17,1.31,0
20160612:2011,0,0,0,0,0,15.48,1.79,0
20160612:2111,0,0,0,0,0,14.97,1.86,0
20160612:2211,0,0,0,0,0,14.61,1.86,0
20160612:2311,0,0,0,0,0,14.28,1.86,0
20160613:0011,0,0,0,0,0,14.21,1.72,0
20160613:0111,0,0,0,0,0,13.84,1.45,0
20160613:0211,0,0,0,0,0,13.52,0.97,0
20160613:0311,0,0,0,0,0,13.06,1.45,0
20160613:0411,17.98,0,18.62,0.7,6.99,13.11,1.52,0
20160613:0511,135.85,0,78.35,2.96,15.17,13.58,1.59,0
20160613:0611,287.26,4.07,146.34,6.44,23.91,14.07,1.79,0
20160613:0711,423.91,13.26,200.19,7.67,32.87,15.29,1.79,0
20160613:0811,423.98,3.74,209.08,7.32,41.66,16.2,1.93,0
20160613:0911,794.39,65.93,320.07,12.89,49.72,16.98,2.41,0
20160613:1011,394.07,0,199.54,6.85,56.16,17.37,2.9,0
20160613:1111,1277.62,235.64,386.72,18.48,59.69,18.04,3.24,0
20160613:1211,754.02,35,334.37,12.21,59.16,18.82,2.97,0
20160613:1311,856.64,75.1,345.66,13.36,54.77,19.15,2.21,0
20160613:1411,1467.27,475.99,262.87,19.33,47.82,19.27,1.45,0
20160613:1511,522.06,24.84,237.2,8.67,39.51,18.81,1.03,0
20160613:1611,148.23,0,86.13,2.96,30.63,18.22,0.83,0
20160613:1711,35.07,0,28.99,1,21.69,17.55,0.9,0
20160613:1811,77.55,0.37,51.11,1.79,13.06,17.25,0.9,0
20160613:1911,18.95,0,19.39,0.73,5.08,15.88,1.52,0
20160613:2011,0,0,0,0,0,15.25,1.66,0
20160613:2111,0,0,0,0,0,14.72,2.07,0
20160613:2211,0,0,0,0,0,14.33,2.28,0
20160613:2311,0,0,0,0,0,14.02,2.41,0
20160614:0011,0,0,0,0,0,13.62,2.34,0
20160614:0111,0,0,0,0,0,13.67,2.41,0
20160614:0211,0,0,0,0,0,13.73,2.62,0
20160614:0311,0,0,0,0,0,13.63,2.48,0
