time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160517:0111,0,0,0,0,0,7.08,2.28,0
20160517:0211,0,0,0,0,0,7.04,2.28,0
20160517:0311,0,0,0,0,0,7.1,2.28,0
20160517:0411,14.78,0,16.46,0.45,3.97,7.06,2.34,0
20160517:0511,50.59,0,36.34,0.93,12.52,7.44,2.28,0
20160517:0611,130.89,0,75.33,1.92,21.57,8.44,2.34,0
20160517:0711,430.63,17.37,194.68,5.34,30.73,10.13,2.21,0
20160517:0811,384.42,2.17,189.84,4.89,39.61,11.52,2.62,0
20160517:0911,1266.26,271.66,334.33,13.01,47.6,13.34,3.24,0
20160517:1011,1089.61,143.55,379.41,11.9,53.78,14.28,3.38,0
20160517:1111,1175.17,168.2,398.44,12.74,56.93,14.83,3.31,0
20160517:1211,1036.57,114.93,383.89,11.58,56.09,15.51,4,0
20160517:1311,216.7,0,117.87,3.01,51.55,15.9,4.34,0
20160517:1411,480,5.4,233.6,6.06,44.5,16.14,4.48,0
20160517:1511,483.4,17.54,223.09,6.06,36.06,16.12,4.21,0
20160517:1611,530.12,82.46,185.16,7.04,27,16.09,3.72,0
20160517:1711,224.64,40.09,97.42,5.04,17.84,15.91,3.17,0
20160517:1811,67.36,0,46.1,1.27,8.96,15.44,2.28,0
20160517:1911,0,0,0,0,0,14.67,2.14,0
20160517:2011,0,0,0,0,0,13.24,2.21,0
20160517:2111,0,0,0,0,0,12.43,2.14,0
20160517:2211,0,0,0,0,0,11.82,2,0
20160517:2311,0,0,0,0,0,11,1.86,0
20160518:0011,0,0,0,0,0,10.09,1.86,0
20160518:0111,0,0,0,0,0,9.4,2.14,0
20160518:0211,0,0,0,0,0,9.53,2.28,0
20160518:0311,0,0,0,0,0,9.26,2.48,0
20160518:0411,18.62,0,18.93,0.52,4.15,8.98,2.55,0
20160518:0511,121.3,6.88,68.72,3.19,12.69,9.56,2.48,0
20160518:0611,457.31,143.06,101.27,7.08,21.73,11.28,2.55,0
20160518:0711,943.96,318.96,137.37,10.66,30.9,13.65,3.24,0
20160518:0811,1168.75,307.65,252.9,12.15,39.78,15.23,3.86,0
20160518:0911,979.18,127.95,343.25,10.84,47.78,16.49,4.76,0
20160518:1011,899.42,75.08,360.04,10.36,53.99,16.9,4.62,0
20160518:1111,386.26,0,197.63,5.04,57.15,17.89,4.28,0
20160518:1211,723.14,26.89,328.76,8.82,56.31,17.86,3.38,0
20160518:1311,280.51,0,148.89,3.8,51.76,18.01,3.38,0
20160518:1411,1352.91,405.48,254.53,14.16,44.68,17.73,3.59,0
20160518:1511,125.29,0,75.33,1.92,36.24,17.47,3.45,0
20160518:1611,197.66,0,109.89,2.81,27.18,17.62,3.38,0
20160518:1711,219.68,9.41,114.57,3.53,18.02,17.76,3.45,0
20160518:1811,55.9,0,40.33,1.11,9.14,16.61,3.31,0
20160518:1911,0,0,0,0,0,14.84,2.34,0
20160518:2011,0,0,0,0,0,13.76,2.07,0
20160518:2111,0,0,0,0,0,12.95,2.14,0
20160518:2211,0,0,0,0,0,12.21,2.21,0
20160518:2311,0,0,0,0,0,11.96,2.14,0
20160519:0011,0,0,0,0,0,11.38,2.07,0
20160519:0111,0,0,0,0,0,10.9,1.93,0
20160519:0211,0,0,0,0,0,10.72,1.72,0
20160519:0311,0,0,0,0,0,10.3,1.52,0
20160519:0411,21.28,0,20.58,0.57,4.32,9.87,1.17,0
20160519:0511,124.35,6.96,70.42,3.23,12.86,10.21,0.83,0
20160519:0611,266.8,8.62,132.09,3.64,21.89,11.97,0.97,0
20160519:0711,590.36,66.95,222.38,7.1,31.06,13.35,2,0
20160519:0811,709.3,65.6,281.02,8.35,39.95,14.74,1.52,0
